brand_and_product_name,package_size_weight
callery's_belgian_dark_chocolate_ice_cream,72g
callery's_durian_ice_cream,100ml
callery's_golden_sands_caramel,72g
callery's_strawberries_and_creme_ice_cream,66g
callery's_vanilla_bean_ice_cream,63g
calpis_calpis_mango_flavour,1l
calpis_calpis_mango_flavour,200ml
calpis_calpis_mango_flavour,350ml
calpis_calpis_original_flavour,200ml
cambo_extra_virgin_groundnut_oil,1.8l
camel_baked_walnuts,130g
camel_brand_brown_rice_vermicelli,3kg
camel_fancy_mix,150g
camel_fancy_mix,200g
camel_jumbo_groundnuts,120g
camel_natural_almonds_baked,150g
camel_natural_almonds_baked,180g
camel_natural_almonds_baked,450g
camel_natural_almonds_baked,80_g
camel_natural_baked_almonds,150g
camel_natural_baked_almonds,400g
camel_natural_baked_cashew,150g
camel_natural_baked_cashew,400g
camel_natural_baked_macadamias,150g
camel_natural_baked_macadamias,40g
camel_natural_baked_pistachios,150g
camel_natural_baked_pistachios,15g
camel_natural_baked_pistachios,400g
camel_natural_baked_pistachios,40g
camel_natural_cashew_baked,180g
camel_natural_fruits_and_nutty_mix,150g
camel_natural_nutty_berries_delight,150g
camel_natural_pistachios,130g
camel_natural_royal_mix,150g
camel_natural_sweet_and_nutty_mix,150g
camel_natural_wholesome_nut_mix_power_bounce,10_x_25g
camel_natural_wholesome_nut_mix_power_revive,10_x_25g
camel_natural_wholesome_nut_mix_power_revive,3_x_25g
camel_roasted_almonds,40g
camel_roasted_grams,150g
camel_roasted_grams,300g
camel_roasted_grams,80g
camel_roasted_peanut,130g
camel_roasted_peanut,150g
camel_roasted_peanut,15g
camel_roasted_peanut,400g
camel_roasted_peanut,40g
camel_shandong_groundnuts,120g
captain_oats_eazy-go_honey_and_raisins_instant_oatmeal,33g
captain_oats_eazy-go_honey_and_raisins_instant_oatmeal,5_x_33g
captain_oats_eazy-go_skim_milk_instant_oatmeal,32g
captain_oats_eazy-go_skim_milk_instant_oatmeal,5_x_32g
captain_oats_instant_oatmeal,1.2kg
captain_oats_instant_oatmeal,1.3kg
captain_oats_instant_oatmeal,12_x_40g
captain_oats_instant_oatmeal,1kg
captain_oats_instant_oatmeal,200g
captain_oats_instant_oatmeal,400g
captain_oats_instant_oatmeal,500g
captain_oats_instant_oatmeal,800g
captain_oats_instant_rolled_oats,12sachets_x_40g
captain_oats_instant_rolled_oats,800g
captain_oats_instant_rolled_oats,85_x_5ml
captain_oats_quick_cook_oatmeal,1.2kg
captain_oats_quick_cook_oatmeal,1.3kg
captain_oats_quick_cook_oatmeal,1kg
captain_oats_quick_cook_oatmeal,200g
captain_oats_quick_cook_oatmeal,400g
captain_oats_quick_cook_oatmeal,500g
captain_oats_quick_cook_oatmeal,500g_jar
captain_oats_quick_cook_oatmeal,800g
captain_oats_rolled_oats,1kg
captain_oats_rolled_oats,200g
captain_oats_rolled_oats,800g
carnation_low_fat_evaporated_milk,400g
carnation_low_fat_high_calcium_evaporated_milk,405g
carolin_canola_oil,5l
carolin_sunflower_oil,5l
catch_salmon,240g
catch_spanish_mackerel,240g
cbi_calamansi_juice_drink_concentrate_reduced_sugar,2l
century_tuna_lite_flakes_in_soya_oil,180g
chang_brand_organic_thai_fragrance_red_brown_rice_100%_whole_grain,1kg
chang_brand_organic_thai_fragrance_red_brown_rice_100%_whole_grain,2kg
chang_brand_organic_wholegrain_broken_red_brown_rice,1kg
chang_brand_thai_organic_3_color_brown_rice,1kg
chang_brand_thai_organic_3_color_brown_rice,2kg
chang_brand_thai_organic_hom_mali_brown_rice_100%_whole_grain,1kg
chang_brand_thai_organic_hom_mali_brown_rice_100%_whole_grain,2kg
chang_brand_thai_organic_hom_mali_crystal_brown_rice,1kg
chang_brand_thai_organic_hom_mali_crystal_brown_rice,2kg
chang_brand_thai_organic_jasmine_brown_rice_100%_whole_grain,1kg
chang_brand_thai_organic_jasmine_brown_rice_100%_whole_grain,2kg
chang_brand_thai_organic_mixed_brown_rice_100%_whole_grain,1kg
chang_brand_thai_organic_mixed_brown_rice_100%_whole_grain,2kg
chee_seng_100%_pure_black_sesame_oil,320ml
chee_seng_100%_pure_black_sesame_oil,650ml
chee_seng_100%_pure_white_sesame_oil,320ml
chee_seng_100%_pure_white_sesame_oil,375ml
chee_seng_100%_pure_white_sesame_oil,750ml
chef_brand_pure_vegetable_cooking_oil,5l
chef_chen_yusheng_sauce_green_tea,150g
chef_chen_yusheng_sauce_green_tea,5.4kg
chef's_finest_baked_cheese_seafood_tomato_rice,390g
chef's_finest_braised_soy_chicken_with_chicken_rice_and_cabbage_and_carrots,310g
chef's_finest_creamy_trio_mushroom_fusilli,435g
chef's_finest_fish_curry_with_red_rice_chilled,390g
chef's_finest_fish_curry_with_red_rice_frozen,390g
chef's_finest_ginger-plum_chicken_with_noodles_and_stir_fried_lotus_roots_and_carrots,310g
chef's_finest_mee_siam_assam_dry_chilled,235g
chef's_finest_mee_siam_assam_dry_frozen,235g
chef's_finest_mexican_baked_fish_chilled,280g
chef's_finest_mexican_baked_fish_frozen,280g
chef's_finest_nyonya_rendang_chicken_with_turmeric_rice_and_cabbage_and_carrots,310g
chef's_finest_pumpkin_rice_chilled,300g
chef's_finest_pumpkin_rice_frozen,300g
chef's_finest_roasted_cajun_chicken_chilled,280g
chef's_finest_roasted_cajun_chicken_frozen,280g
chef's_finest_sambal_fish_and_prawn_with_turmeric_rice_and_string_beans_and_carrots,310g
chef's_finest_spaghetti_chicken_bolognese_chilled,300g
chef's_finest_spaghetti_chicken_bolognese_frozen,300g
chef's_finest_teochew_braised_duck_with_yam_rice_and_cabbage_and_carrots,320g
chef's_finest_thai_basil_baked_fish_chilled,330g
